	belief	argument	label	gold_graph	id	linked_paths	generated_graph_linked	generated_graph_gold	retrieved_graph
146	The games boost the economies of the cities where they are held.	Many people visit the city during the games.	support	[['the games', 'capable of', 'attraction'], ['attraction', 'used for', 'tourist'], ['tourist', 'part of', 'people'], ['people', 'at location', 'city'], ['tourist', 'capable of', 'boost the economies']]	1026	[['people', 'atlocation', 'carnival'], ['carnival', '_atlocation', 'games']]	[['people', 'hasa', '', '_hasa', 'games']]	[['the games', 'capableof', 'boost the economies']]	[['games', '_usedfor', 'stadium'], ['stadium', 'atlocation', 'city']]
450	Intelligence tests are bad for society.	The damage done by substandard intelligence test results cannot outdo any gains made by positive results in others.	support	[['intelligence tests', 'capable of', 'substandard'], ['substandard', 'capable of', 'damage done'], ['damage done', 'is a', 'bad for society']]	1330	[['gain', 'distinctfrom', 'loss'], ['loss', '_notdesires', 'person'], ['person', 'notdesires', 'anxiety'], ['anxiety', '_causes', 'being_in_charge_of_project'], ['being_in_charge_of_project', 'usedfor', 'intelligence_test']]	[['gain', '_causes', 'getting good grade'], ['getting good grade', 'hasprerequisite', 'intelligence test']]	[['intelligence tests', '_usedfor', 'taking midterm'], ['taking midterm', 'hassubevent', 'cheating'], ['cheating', 'hasproperty', 'bad for society']]	[['intelligence', '_hasprerequisite', 'examining_thing'], ['examining_thing', 'hassubevent', 'test']]
46	If Cannabis is legalized they may start to use other drugs that are worse.	Some people will see that it is safe to use cannabis so they will start to use other drugs.	support	[['cannabis', 'capable of', 'being legal'], ['being legal', 'causes', 'use other drugs'], ['use other drugs', 'causes', 'abuse drugs'], ['abuse drugs', 'created by', 'legalized']]	926	[['people', 'hasproperty', 'good'], ['good', '_hasproperty', 'cannabis']]	[['people', 'capableof', '', '_usedfor', 'marijuana']]	[['cannabis', 'isa', 'cannabis'], ['cannabis', 'hascontext', 'legalized']]	[['drugs', 'hasproperty', 'good'], ['good', '_hasproperty', 'cannabis']]
135	targeted killing is necessary	targeted killing saves lives.	support	[['terrorists', 'part of', 'killing innocent people'], ['killing innocent people', 'part of', 'unsafe'], ['unsafe', 'desires', 'targeted killing'], ['targeted killing', 'capable of', 'saves lives'], ['saves lives', 'has context', 'necessary']]	1015	[['kill', '_causesdesire', 'war'], ['war', '_atlocation', 'cannonball'], ['cannonball', 'usedfor', 'warfare'], ['warfare', '_hascontext', 'targeted_killing']]	[['kill', '_usedfor', 'bullet'], ['bullet', 'atlocation', 'targeted killing']]	[['terrorists', 'hasproperty', 'necessary']]	-1
1048	Flags are objects that only have so much importance.	The confederate flag specifically has hurtful historical significance for African Americans.	counter	[['confederate flag', 'is a', 'flags'], ['confederate flag', 'has context', 'hurtful historical significance'], ['hurtful historical significance', 'antonym of', 'importance']]	1928	[['confederate', 'hascontext', 'psychology'], ['psychology', '_isa', 'state'], ['state', 'atlocation', 'country'], ['country', '_atlocation', 'flag']]	[['confederate', '_distinctfrom', '', '_atlocation', 'flag']]	[['confederate flag', 'isa', 'flag'], ['flag', 'usedfor', 'importance']]	[['flags', 'capableof', 'wave'], ['wave', '_isa', 'light'], ['light', '_isa', 'blue_light'], ['blue_light', 'hascontext', 'historical']]
465	The church of scientology should be banned.	The church of scientology is dangerous.	support	[['church of scientology', 'is a', 'dangerous'], ['dangerous', 'desires', 'banned'], ['church of scientology', 'capable of', 'abusive']]	1345	[['dangerousest', 'hascontext', 'nonstandard'], ['nonstandard', '_hascontext', 'person'], ['person', '_isa', 'l_ron_hubbard'], ['l_ron_hubbard', 'knownfor', 'scientology'], ['scientology', '_hascontext', 'church_of_scientology']]	[['dangerousest', '_hasproperty', 'mercury'], ['mercury', 'atlocation', 'church of scientology']]	[['church of scientology', 'hascontext', 'religion'], ['religion', 'hasproperty', 'abusive']]	[['church', '_atlocation', 'electricity'], ['electricity', '_hascontext', 'circuit'], ['circuit', 'hascontext', 'scientology']]
1162	Banning telemarketing harms businesses.	Banning telemarketing would impede many businesses from acquiring new customers.	support	[['banning telemarketing', 'capable of', 'reducing sales'], ['reducing sales', 'causes', 'harms businesses'], ['banning telemarketing', 'not has subevent', 'acquiring new customers'], ['no new customers', 'capable of', 'harms businesses']]	2042	[['new_customer', '_causes', 'giving_plug'], ['giving_plug', 'causes', 'increase_sales'], ['increase_sales', '_capableof', 'business']]	[['new customer', '_causes', 'getting in line'], ['getting in line', 'usedfor', 'business']]	[['banning telemarketing', 'isa', '', '_usedfor', 'handgun atlocationarms businesses']]	-1
1388	Adopting gender-neutral language is too costly of a venture.	Changing to gender-neutral language would prompt the revision of billions of documents.	support	[['adopting', 'causes', 'changing to'], ['changing to', 'has context', 'gender-neutral language'], ['gender-neutral language', 'receives action', 'need amendments'], ['need amendments', 'desires', 'prompt the revision'], ['prompt the revision', 'has context', 'billions of documents'], ['billions of documents', 'desires', 'funding'], ['funding', 'is a', 'too costly venture']]	2268	[['change', '_mannerof', 'language']]	[]	[['adopting', '_isa', 'too costly venture']]	[['costly', '_distinctfrom', 'free'], ['free', '_notdesires', 'person'], ['person', 'notdesires', 'prompt']]
159	Targeted killing can be a useful tool	Targeted killing against bad guys can be smart.	support	[['targeted killing', 'capable of', 'against bad guys'], ['against bad guys', 'capable of', 'smart'], ['targeted killing', 'is a', 'method'], ['method', 'capable of', 'useful tool']]	1039	[['smart', '_desires', 'person'], ['person', 'desires', 'justice'], ['justice', '_usedfor', 'killing']]	[['smart', '_hasprerequisite', '', '_causesdesire', '', '_causes', 'killing']]	[['targeted killing', 'isa', 'killing'], ['killing', 'hasprerequisite', 'knife'], ['knife', 'isa', 'useful tool']]	[['tool', '_isa', 'weapon'], ['weapon', 'usedfor', 'killing']]
252	marriage should not be done away with.	Many people still value marriage.	support	[['still value marriage', 'causes', 'marriage'], ['people', 'has property', 'still value marriage'], ['good thing', 'not desires', 'done away with'], ['still value marriage', 'has context', 'good thing']]	3499	[['value', '_desires', 'person'], ['person', 'desires', 'support'], ['support', 'atlocation', 'marriage']]	[['value', '_hasprerequisite', 'buying for loved one'], ['buying for loved one', 'causes', 'marriage']]	[['still value marriage', '_capableof', 'good thing']]	[['marriage', 'createdby', 'wedding'], ['wedding', '_atlocation', 'people']]
1067	Assisted suicide is not a crime.	Assisted suicide allows the doctor to stop trying to cure the patient.	counter	[['assisted suicide', 'created by', 'medical personnel'], ['medical personnel', 'not desires', 'cure the patient'], ['cure the patient', 'receives action', 'stop trying'], ['stop trying', 'is a', 'crime']]	1947	[['doctor', '_atlocation', 'hospital'], ['hospital', '_atlocation', 'death'], ['death', 'createdby', 'suicide']]	[['doctor', '_atlocation', 'suicide']]	[['assisted suicide', 'hascontext', 'suicide'], ['suicide', 'isa', 'crime']]	[['suicide', '_createdby', 'death'], ['death', 'atlocation', 'hospital'], ['hospital', 'atlocation', 'doctor']]
987	Some people are just politically Apathetic	Some people will not want to participate in politics no matter what, so you should not impose it on them	support	[['some people', 'not desires', 'participate in politics'], ['participate in politics', 'capable of', 'not for everyone'], ['not for everyone', 'capable of', 'politically apathetic']]	1867	[['politics', '_isa', 'casting_vote'], ['casting_vote', '_causes', 'preparing_for_vote'], ['preparing_for_vote', 'usedfor', 'politically']]	[['politics', '_hascontext', 'politically']]	[['some people', 'hasproperty', 'politically apathetic']]	[['politically', '_usedfor', 'preparing_for_vote'], ['preparing_for_vote', 'hasprerequisite', 'work'], ['work', '_usedfor', 'people']]
1045	They do a lot of dangerous things and that includes the opposition to vaccines.	Opposing vaccines is dangerous.	support	[['opposing vaccines', 'is a', 'dangerous'], ['opposing vaccines', 'synonym of', 'opposition to vaccines'], ['dangerous', 'synonym of', 'risky']]	1925	[]	[]	[['opposing vaccines', '_usedfor', 'making sure re healthy'], ['making sure re healthy', 'hassubevent', 'risky']]	[['lot', 'hascontext', 'us'], ['us', 'hasa', 'military'], ['military', '_motivatedbygoal', 'have_physical_examination'], ['have_physical_examination', 'motivatedbygoal', 'prevent_disease'], ['prevent_disease', '_usedfor', 'vaccines']]
49	Entrapment works.	Entrapment does the job of catching.	support	[['entrapment', 'capable of', 'catching criminals'], ['catching criminals', 'causes', 'does the job'], ['does the job', 'capable of', 'works']]	3296	[['catch', '_capableof', 'catcher'], ['catcher', 'hascontext', 'us'], ['us', '_hascontext', 'legal'], ['legal', '_hascontext', 'entrapment']]	[['catch', '_hassubevent', 'playing basketball'], ['playing basketball', 'causes', 'entrapment']]	[['entrapment', 'hascontext', 'arts'], ['arts', 'isa', 'works']]	[['entrapment', 'hascontext', 'legal'], ['legal', '_hascontext', 'relieve'], ['relieve', 'hascontext', 'job']]
127	Regime's shouldn't punish the vulnerable by removing programs they rely on.	Poor people don't have a lot of money for food	support	"[['vulnerable people', 'part of', 'poor people'], ['poor people', 'desires', 'programs'], ['programs', 'created by', ""regime's""], [""regime's"", 'capable of', 'provision'], ['provision', 'used for', 'money for food']]"	3374	[['poor', '_hasproperty', 'people'], ['people', 'capableof', 'get_angry'], ['get_angry', '_hassubevent', 'punish']]	[['poor', '_hasproperty', 'people'], ['people', 'capableof', '', '_motivatedbygoal', 'punish']]	[['vulnerable people', '_usedfor', '', '_atlocation', 'money for food']]	[['punish', 'hasprerequisite', 'kill'], ['kill', 'motivatedbygoal', 'money']]
348	people should get married only if they want to.	Marriage is the foundation for society.	counter	[['marriage', 'is a', 'foundation for society'], ['married', 'part of', 'marriage'], ['people', 'desires', 'marriage']]	3595	[['society', '_partof', 'person'], ['person', 'desires', 'celebrate'], ['celebrate', 'motivatedbygoal', 'got_married']]	[['society', '_atlocation', 'people'], ['people', 'hasa', 'got married']]	[['marriage', '_isa', 'marriage']]	[['people', 'atlocation', 'wedding'], ['wedding', '_createdby', 'marriage']]
108	algorithmic trading is more efficient	algorithmic trading is the future that will advance the field	support	[['algorithmic', 'created by', 'algorithms'], ['algorithms', 'used for', 'artificial intelligence'], ['artificial intelligence', 'capable of', 'patterns'], ['patterns', 'causes', 'efficient'], ['efficient', 'used for', 'trading'], ['trading', 'part of', 'future']]	988	[['advance', '_causes', 'learning_about_subject'], ['learning_about_subject', 'causes', 'change'], ['change', '_mannerof', 'mathematics'], ['mathematics', '_hascontext', 'algorithmic']]	[['advance', '_capableof', '', '_hascontext', 'algorithmic']]	[['algorithmic', 'hascontext', 'computer science _field journal'], ['computer science _field journal', 'isa', 'future']]	[['trading', '_hascontext', 'arb'], ['arb', 'hascontext', 'finance'], ['finance', '_hascontext', 'future']]
1517	the olympics should no longer exist	the olympics are too much effort.	support	[['logistical challenge', 'capable of', 'too much effort'], ['the olympics', 'is a', 'logistical challenge'], ['too much effort', 'desires', 'no longer exist']]	2397	[['much', '_distinctfrom', 'less'], ['less', '_desires', 'person'], ['person', '_isa', 'athlete'], ['athlete', 'atlocation', 'olympics']]	[['much', '_hascontext', 'olympics']]	[['logistical challenge', 'hascontext', '', '_isa', 'person'], ['person', 'notdesires', 'no longer exist']]	[['longer', 'isa', 'single'], ['single', '_isa', 'boxer'], ['boxer', 'isa', 'athlete'], ['athlete', 'atlocation', 'olympics']]
1519	Host cities spend too much money when they host the olympic games.	Countries compete for hosting the olympic games due to the economic benefits they receive.	counter	[['olympic games', 'capable of', 'boosting tourism'], ['boosting tourism', 'causes', 'lots of money'], ['lots of money', 'causes', 'economic benefits'], ['lots of money', 'capable of', 'meet games costs'], ['meet games costs', 'not has property', 'tax payer funded'], ['meet games costs', 'not receives action', 'host cities spend']]	2399	[['country', 'hasproperty', 'en'], ['en', 'hascontext', 'historical'], ['historical', '_hascontext', 'olympic_games']]	[['country', '_isa', '', '_atlocation', 'olympic games']]	[['olympic games', '_usedfor', 'stadium stand'], ['stadium stand', 'atlocation', 'stadium'], ['stadium', 'capableof', 'host cities spend']]	[['host', 'hasprerequisite', 'plan'], ['plan', '_capableof', 'people'], ['people', 'desires', 'compete']]
683	People should be able to dress how they choose due to freedom of expression	Freedom of expression should allow people to wear whatever they desire.	support	[['people', 'has property', 'right'], ['right', 'made of', 'freedom of expression'], ['freedom of expression', 'used for', 'dressing']]	1563	[['wear', '_hassubevent', 'driving'], ['driving', 'hasproperty', 'fun'], ['fun', '_usedfor', 'killing'], ['killing', 'causes', 'freedom']]	[['wear', '_hasprerequisite', '', '_causesdesire', 'freedom']]	[['people', 'capableof', '', '_causes', 'dressing']]	[['dress', 'hasproperty', 'blue'], ['blue', 'isa', 'state_of_mind'], ['state_of_mind', '_isa', 'freedom']]
1496	Targeted killing is a bad idea.	Targeted killing can be a good and interesting topic.	counter	[['good and interesting', 'is not a', 'bad idea'], ['targeted killing', 'capable of', 'good and interesting'], ['targeted killing', 'capable of', 'justice']]	2376	[['interesting_topics', 'causesdesire', 'listen'], ['listen', '_capableof', 'humans'], ['humans', 'atlocation', 'funeral'], ['funeral', '_causes', 'killing']]	[['interesting topics', '_desires', 'person'], ['person', 'notdesires', '', '_causes', 'killing']]	[['good and interesting', '_hasproperty', '', '_hascontext', 'justice']]	[['killing', 'hasproperty', 'bad'], ['bad', 'nothasproperty', 'good']]
212	Women are capable like men to defend our country and preventing them is gender inequality	letting women serve in the military helps end gender inequality.	support	[['women', 'capable of', 'service'], ['service', 'used for', 'military'], ['military', 'used for', 'defend our country'], ['service', 'causes', 'gender equality']]	1092	[['military', '_hascontext', 'men'], ['men', 'distinctfrom', 'woman']]	[['military', '_hascontext', 'woman']]	[['women', 'hasa', 'gender equality']]	[['defend', '_distinctfrom', 'attack'], ['attack', '_capableof', 'humans'], ['humans', 'hasproperty', 'male_or_female'], ['male_or_female', '_hasproperty', 'gender']]
286	people are free to practice the religion they choose	Society's right to be free to practice religion should not be limited.	support	[['religion', 'has context', 'society'], ['society', 'made of', 'people'], ['people', 'has property', 'right'], ['right', 'receives action', 'not be limited'], ['not be limited', 'has subevent', 'free to practice']]	1166	[['society', '_partof', 'person'], ['person', '_isa', 'religion']]	[['society', '_isa', 'religion']]	[['religion', '_hascontext', 'free to practice']]	[['free', '_notdesires', 'person'], ['person', '_isa', 'religion']]
853	private military companies should not be banned.	Private military companies increase competition.	support	[['competition', 'has context', 'economy'], ['advancement', 'not desires', 'banned'], ['government', 'not causes', 'advancement'], ['economy', 'has context', 'military industrial complex'], ['military industrial complex', 'desires', 'fewer regulations'], ['fewer regulations', 'not created by', 'government'], ['government', 'is not a', 'private military companies'], ['private military companies', 'causes', 'advancement']]	1733	[['competition', '_causes', 'baseball'], ['baseball', '_hascontext', 'organization'], ['organization', '_isa', 'armor_company'], ['armor_company', 'isa', 'military_company']]	[['competition', '_usedfor', '', '_atlocation', '', '_isa', 'military company']]	[['competition', '_usedfor', 'playing basketball'], ['playing basketball', 'causes', 'advancement']]	[['private', 'hascontext', 'us'], ['us', 'hasa', 'military']]
62	Religion is a reason to not participate in certain activities.	Religion doesn't always have a place in a situation.	support	[['religion', 'has context', 'rules and guidelines'], ['rules and guidelines', 'has subevent', 'not participate'], ['not participate', 'has context', 'situation'], ['situation', 'synonym of', 'certain activities']]	3309	[['always', '_hascontext', 'bomb'], ['bomb', 'atlocation', 'war'], ['war', '_causes', 'religion']]	[['always', 'hascontext', 'religion']]	[['religion', '_hascontext', '', '_hasproperty', 'certain activities']]	[['religion', 'isa', 'person'], ['person', '_distinctfrom', 'place']]
2337	People have the choice about what to do with their own body.	If what someone does with their body harms another it should not be allowed.	counter	[['harms another', 'not part of', 'choice'], ['harms another', 'capable of', 'not be allowed'], ['people', 'not used for', 'harms another']]	3217	[['harm', '_usedfor', 'killing'], ['killing', 'usedfor', 'eating'], ['eating', '_capableof', 'animal'], ['animal', '_atlocation', 'artery'], ['artery', 'atlocation', 'own_body']]	[['harm', '_capableof', 'person'], ['person', 'desires', 'own body']]	[['harms another', '_capableof', 'harry'], ['harry', 'isa', 'harry'], ['harry', 'desires', 'harms another']]	[['choice', 'hascontext', 'slang'], ['slang', '_hascontext', 'body']]
113	targeted killings should not be allowed.	Targeted killings are more efficient.	counter	[['targeted killings', 'has property', 'moral'], ['moral', 'created by', 'efficient'], ['efficient', 'used for', 'terrorist'], ['efficient', 'receives action', 'allowed']]	993	[['efficient', 'distinctfrom', 'inefficient'], ['inefficient', '_hasproperty', 'circular_route'], ['circular_route', 'atlocation', 'city'], ['city', '_atlocation', 'war'], ['war', '_atlocation', 'killing']]	[['efficient', '_hasproperty', 'killing']]	[['targeted killings', 'hascontext', 'weapons'], ['weapons', 'receivesaction', 'allowed']]	-1
931	If someone is forced to vote, people will feel like the government has power over them, and won't feel free.	Being forced to do something is being controlled.	support	[['vote', 'is a', 'choice'], ['choice', 'not capable of', 'being forced'], ['being forced', 'used for', 'someone'], ['someone', 'not desires', 'being controlled'], ['being controlled', 'created by', 'government']]	1811	[['control', '_usedfor', 'war'], ['war', 'causesdesire', 'change_society'], ['change_society', 'hasprerequisite', 'vote']]	[['control', '_hasprerequisite', 'deciding criminal s fate'], ['deciding criminal s fate', 'hassubevent', 'vote']]	[['vote', '_isa', '', '_distinctfrom', 'government']]	[['government', '_notdesires', 'person'], ['person', 'notdesires', 'forced']]
1645	Factory farming is a source of animal rights abuses.	The world's growing population dictates that animals be used more than they are protected.	counter	[['factory farming', 'has property', 'animals'], ['animals', 'used for', 'food'], ['food', 'used for', 'growing population'], ['food', 'has property', 'necessary'], ['necessary', 'not has context', 'abuses']]	2525	[['animals', 'atlocation', 'farm'], ['farm', 'distinctfrom', 'city'], ['city', '_atlocation', 'factory']]	[['animals', 'atlocation', 'factory']]	[['factory farming', 'isa', '', '_hascontext', 'abuses']]	[['farming', '_isa', 'act'], ['act', '_isa', 'food'], ['food', '_isa', 'animals']]
21	marriage is outdated.	marriage sets the foundation for strong families.	counter	[['marriage', 'causes', 'lifelong commitment'], ['lifelong commitment', 'part of', 'healthy relationships'], ['healthy relationships', 'causes', 'strong families'], ['strong families', 'antonym of', 'outdated']]	3268	[['family', '_atlocation', 'intimacy'], ['intimacy', 'atlocation', 'marriage']]	[['family', '_partof', 'marriage']]	[['marriage', '_usedfor', 'proposing to woman'], ['proposing to woman', 'causes', 'rejection'], ['rejection', 'hascontext', 'outdated']]	[['marriage', 'hascontext', 'card_games'], ['card_games', '_hascontext', 'foundation']]
1204	Parents should not choose the sex of their children.	People have the right to make choices for their own bodies, and that includes choices for their fetus.	counter	[['people', 'capable of', 'freedom'], ['freedom', 'part of', 'choices'], ['choices', 'used for', 'sex'], ['sex', 'used for', 'their kids'], ['people', 'made of', 'parents']]	2084	[['make_choice', '_capableof', 'people'], ['people', 'hasa', 'sex']]	[['make choice', '_hassubevent', 'deciding criminal s fate'], ['deciding criminal s fate', 'usedfor', 'sex']]	[['people', '_isa', 'parents']]	[['parents', '_desires', 'person'], ['person', 'desires', 'choices']]
2	Marriage is the backbone of society.	Marriage forms strong families.	support	[['marriage', 'used for', 'couples'], ['couples', 'capable of', 'strong families'], ['strong families', 'is a', 'backbone of society']]	3249	[['family', '_atlocation', 'intimacy'], ['intimacy', 'atlocation', 'marriage']]	[['family', '_partof', 'marriage']]	[['marriage', '_usedfor', 'backbone of society']]	[['marriage', '_atlocation', 'support'], ['support', 'hascontext', 'mathematics'], ['mathematics', '_hascontext', 'strong']]
262	marriage is extremely important for strong families.	Marriage has been a staple in society for centuries.	support	[['marriage', 'is a', 'staple in society'], ['staple in society', 'used for', 'strong families'], ['strong families', 'has property', 'benefits society'], ['benefits society', 'is a', 'extremely important']]	3509	[['society', '_atlocation', 'human'], ['human', 'atlocation', 'love'], ['love', 'atlocation', 'marriage']]	[['society', '_atlocation', 'marriage']]	[['marriage', 'hasproperty', 'very important']]	[['important', '_hasproperty', 'life'], ['life', '_partof', 'love'], ['love', 'atlocation', 'marriage']]
1491	The Olympic games cause taxes to increase for the host city thanks to the massive spending to ensure everything is running correctly	The added tourism from the Olympic games brings more money overall to the city, which will make the added taxes meaningless	counter	[['olympic games', 'is a', 'expense'], ['expense', 'receives action', 'taxes to increase'], ['added tourism', 'causes', 'brings more money'], ['olympic games', 'causes', 'added tourism'], ['added tourism', 'has context', 'host city'], ['taxes to increase', 'is a', 'meaningless']]	2371	[['money', 'atlocation', 'church'], ['church', 'hascontext', 'historical'], ['historical', '_hascontext', 'olympic_games']]	[['money', '_hasprerequisite', 'playing poker'], ['playing poker', 'usedfor', 'olympic games']]	[['olympic games', '_usedfor', 'playing chess'], ['playing chess', 'hassubevent', 'lose'], ['lose', 'distinctfrom', 'meaningless']]	[['games', 'atlocation', 'casino'], ['casino', '_atlocation', 'money'], ['money', '_isa', 'taxes']]
1781	Zero-tolerance policies are good.	Clear communication doesn't come without zero-tolerance policies.	support	[['zero-tolerance policies', 'causes', 'clear communication'], ['clear communication', 'is a', 'good'], ['policies', 'has context', 'beneficial'], ['zero-tolerance policies', 'part of', 'policies'], ['good', 'synonym of', 'beneficial']]	2661	[['communication', '_mannerof', 'medicine'], ['medicine', '_hascontext', 'resolution'], ['resolution', 'isa', 'policy']]	[['communication', '_hascontext', 'policy']]	[['zero-tolerance policies', 'hasproperty', '', '_distinctfrom', 'beneficial']]	-1
73	the prisons at guantanamo bay are aided by a detection field.	guantanamo bay prisons have had detection help with prisoners	support	[['had detection help', 'used for', 'prisoners'], ['had detection help', 'receives action', 'aided'], ['aided', 'created by', 'using detection field'], ['prisons', 'at location', 'guantanamo bay'], ['guantanamo bay', 'capable of', 'had detection help']]	3320	[['prisoners', 'atlocation', 'prison']]	[['prisoners', 'atlocation', 'prison']]	[['had detection help', '_motivatedbygoal', 'send criminal to prison'], ['send criminal to prison', 'hasprerequisite', 'had detection help']]	[['bay', 'atlocation', 'lake'], ['lake', 'atlocation', 'countryside'], ['countryside', '_atlocation', 'prison'], ['prison', '_atlocation', 'prisoners']]
741	School uniforms are good at eliminating class bias.	School uniforms are good at reducing class bias, eliminating such bias might require more resources than just a uniform.	support	[['school uniforms', 'used for', 'elimination'], ['elimination', 'part of', 'class bias'], ['class bias', 'at location', 'schools']]	1621	[['reduce', 'hascontext', 'mathematics'], ['mathematics', '_hascontext', 'uniform'], ['uniform', '_isa', 'school_uniform']]	[['reduce', '_distinctfrom', '', '_capableof', 'school uniform']]	[['school uniforms', 'atlocation', 'schools']]	[['uniforms', '_usedfor', 'hat'], ['hat', 'atlocation', 'closet'], ['closet', 'atlocation', 'school']]
425	Factory farming abuses animals.	Factory farming feeds millions.	counter	[['factory farming', 'capable of', 'cheap meals'], ['cheap meals', 'used for', 'feeds millions'], ['feeds millions', 'not created by', 'abuses animals']]	1305	[['feed', '_isa', 'pet_food'], ['pet_food', 'atlocation', 'supermarket'], ['supermarket', 'atlocation', 'city'], ['city', '_atlocation', 'factory']]	[['feed', '_usedfor', 'machine'], ['machine', 'atlocation', 'factory']]	[['factory farming', 'isa', '', '_hascontext', 'abuses animals']]	[['factory', '_isa', 'artifact'], ['artifact', 'usedfor', 'contact'], ['contact', '_entails', 'farming']]
2328	Student loans should not be subsidized.	Student loans make students slack off due to not being responsible right away.	support	[['student loans', 'receives action', 'subsidized'], ['subsidized', 'causes', 'deferred responsibility'], ['deferred responsibility', 'causes', 'slack off'], ['slack off', 'is a', 'bad']]	3208	[['students', 'hasa', 'pets'], ['pets', '_usedfor', 'buying_house'], ['buying_house', 'hasprerequisite', 'loan']]	[['students', 'atlocation', 'school'], ['school', 'usedfor', 'loan']]	[['student loans', '_usedfor', 'paying bills'], ['paying bills', 'hasproperty', 'bad']]	[['student', '_hasprerequisite', 'go_to_school'], ['go_to_school', '_causesdesire', 'ambition'], ['ambition', 'causesdesire', 'in_charge_of_project'], ['in_charge_of_project', 'motivatedbygoal', 'responsible']]
1867	There is no reason for subsidized student loans.	If there were no subsidized student loans, there would be very few students occupying the countries schools.	counter	[['poor', 'receives action', 'subsidized student loans'], ['subsidized student loans', 'used for', 'expensive tuition'], ['reason for subsidized', 'has context', 'expensive tuition'], ['students', 'desires', 'college'], ['students', 'has property', 'poor'], ['expensive tuition', 'used for', 'schools'], ['reason for subsidized', 'has context', 'affordable']]	2747	[['countries', '_atlocation', 'world'], ['world', 'hascontext', 'speculation'], ['speculation', 'hascontext', 'finance'], ['finance', '_hascontext', 'debt_instrument'], ['debt_instrument', '_isa', 'student_loan']]	[['countries', '_atlocation', 'student loan']]	[['poor', 'distinctfrom', 'affordable']]	[['student', 'isa', 'person'], ['person', 'desires', 'space'], ['space', 'usedfor', 'occupying']]
1920	economic sanctions should no longer exist.	Economic sanctions are necessary for countries to obey orders.	counter	[['economic sanctions', 'causes', 'obey orders'], ['obey orders', 'has context', 'necessary'], ['necessary', 'desires', 'exist']]	2800	[['countries', '_atlocation', 'world'], ['world', '_desires', 'person'], ['person', 'notdesires', 'hurt_else'], ['hurt_else', '_causesdesire', 'retribution'], ['retribution', '_isa', 'sanction']]	[['countries', '_atlocation', 'border'], ['border', 'usedfor', 'sanction']]	[['economic sanctions', '_causes', 'fighting inflation'], ['fighting inflation', 'hassubevent', 'exist']]	[['longer', 'isa', 'single'], ['single', '_distinctfrom', 'double'], ['double', 'hascontext', 'computing'], ['computing', '_hascontext', 'world'], ['world', 'atlocation', 'countries']]
2063	Some people are politically apathetic, they should not be forced to vote.	Everyone should vote in other to put good leaders in position	counter	[['people', 'not capable of', 'not care politics'], ['not care politics', 'synonym of', 'apathetic'], ['everyone', 'desires', 'should vote'], ['people', 'desires', 'should vote'], ['should vote', 'has context', 'forced to vote']]	2943	[['leader', 'isa', 'person'], ['person', 'capableof', 'decide_who_to_vote_for'], ['decide_who_to_vote_for', '_causes', 'preparing_for_vote'], ['preparing_for_vote', 'usedfor', 'politically']]	[['leader', '_isa', 'president'], ['president', 'usedfor', 'politically']]	[['people', 'receivesaction', 'forced to vote']]	[['forced', '_notdesires', 'person'], ['person', '_isa', 'citizen'], ['citizen', 'capableof', 'vote']]
56	Guantanamo Bay should be shut down.	Guantanamo Bay holds terrible people.	counter	[['guantanamo bay', 'capable of', 'holding'], ['holding', 'used for', 'terrible people'], ['terrible people', 'receives action', 'guantanamo prison'], ['guantanamo prison', 'not receives action', 'shut down']]	3303	[['terrible', '_hasproperty', 'war'], ['war', '_isa', 'person'], ['person', 'notdesires', 'shut']]	[['terrible', '_hasproperty', '', '_atlocation', 'robot'], ['robot', 'capableof', 'shut']]	[['guantanamo bay', '_atlocation', 'slave'], ['slave', 'capableof', 'shut down']]	[['shut', '_notdesires', 'person'], ['person', 'isa', 'war'], ['war', 'hasproperty', 'terrible']]
500	Scientology is a religion like any other.	Scientology is a religion with a church.	support	[['scientology', 'part of', 'belief'], ['belief', 'part of', 'religion'], ['religion', 'at location', 'churches'], ['churches', 'part of', 'any other']]	1380	[['church', 'isa', 'religion']]	[['church', '_atlocation', 'temple'], ['temple', 'usedfor', 'worship'], ['worship', 'hascontext', 'religion']]	[['scientology', '_hascontext', 'any other']]	[['scientology', 'isa', 'organisation'], ['organisation', '_isa', 'group'], ['group', '_hascontext', 'religion']]
2289	Private military companies shouldn't work together due to inconsistencies.	Private military companies can learn more information by working together.	counter	[['private military companies', 'capable of', 'learn more information'], ['work together', 'synonym of', 'cooperation'], ['cooperation', 'capable of', 'learn more information'], ['cooperation', 'not capable of', 'inconsistencies']]	3169	[['information', '_hasprerequisite', 'planning_vacation'], ['planning_vacation', 'hasprerequisite', 'organization'], ['organization', '_isa', 'armor_company'], ['armor_company', 'isa', 'military_company']]	[['information', '_usedfor', '', '_isa', 'empire state building'], ['empire state building', 'atlocation', 'military company']]	[['private military companies', '_hasa', 'many countries'], ['many countries', 'hasa', 'inconsistencies']]	[['private', 'hascontext', 'us'], ['us', 'hasa', 'military']]
