	belief	argument	label	gold_graph	generated_graph	retrieved_graph
1327	Legalized organ trade would harm society.	Legalized organ trade would disproportionately target the poor, harming their future health.	support	[['legalized organ trade', 'capable of', 'negative effects'], ['negative effects', 'causes', 'harm society'], ['legalized organ trade', 'capable of', 'target the poor'], ['target the poor', 'is a', 'negative effect']]	[['legalized organ trade', '_hascontext', 'negative effect']]	[['organ', '_isa', 'brain'], ['brain', 'atlocation', 'person'], ['person', 'desires', 'future']]
1530	Abolishing the Olympics would be bad as it brings pride	Abolishing the Olympics would save money	counter	[['abolishing the olympics', 'capable of', 'save money'], ['save money', 'not capable of', 'bad'], ['save money', 'causes', 'pride']]	[['abolishing the olympics', '_usedfor', 'losing weight'], ['losing weight', 'causes', 'pride']]	[['bad', '_notdesires', 'person'], ['person', '_isa', 'athlete'], ['athlete', 'atlocation', 'olympics']]
1545	Blockades are a better option than using the military.	The military can solve problems more easily.	counter	[['military', 'capable of', 'solve problems'], ['blockades', 'not capable of', 'solve problems'], ['blockades', 'not capable of', 'more easily'], ['solve problems', 'desires', 'more easily'], ['military', 'capable of', 'more easily']]	[['military', '_hascontext', 'more easily']]	[['option', 'hascontext', 'finance'], ['finance', '_hascontext', 'aaa'], ['aaa', 'hascontext', 'military']]
292	Social media can lead to inactivity, social isolation, issues with self-esteem and focus, and even suicide.	People can't hug at a distance	support	"[['social media', 'at location', 'at a distance'], ['at a distance', 'causes', 'social isolation'], ['social isolation', 'has subevent', ""people can't hug""]]"	"[['social media', '_hascontext', '', '_hassubevent', 'kiss'], ['kiss', 'motivatedbygoal', ""people can't hug""]]"	[['social', '_desires', 'people']]
2133	School prayer is a positive for society.	Schools should not be mandating prayer.	counter	[['schools', 'has subevent', 'separate from religion'], ['separate from religion', 'not used for', 'mandating prayer'], ['mandating prayer', 'not capable of', 'positive'], ['mandating prayer', 'part of', 'school prayer']]	[['schools', '_atlocation', 'school prayer']]	[['prayer', 'atlocation', 'church'], ['church', 'usedfor', 'learn'], ['learn', '_hassubevent', 'study'], ['study', 'atlocation', 'schools']]
2360	Over 50 percent of students can't afford to pay for college because it's so expensive.	College can be very expensive.	support	"[['college', 'capable of', 'very expensive'], ['very expensive', 'capable of', ""can't afford""], ['so expensive', 'synonym of', 'very expensive']]"	[['college', '_atlocation', 'chapel'], ['chapel', 'hasproperty', 'very expensive']]	[['students', 'desires', 'learn'], ['learn', '_hassubevent', 'college']]
1206	Stay at home Dads tends to be unproductive when women are productive	Stay at home dad has no value to the country GDP	support	[['stay at home', 'used for', 'parents'], ['parents', 'made of', 'dads'], ['dads', 'has property', 'no value'], ['no value', 'created by', 'unproductive']]	[['stay at home', '_capableof', 'person'], ['person', 'notdesires', 'pregnancy'], ['pregnancy', 'hasproperty', 'unproductive']]	[['productive', '_distinctfrom', 'lazy'], ['lazy', 'hascontext', 'uk'], ['uk', '_hascontext', 'home']]
821	People around the world are able to connect thanks to social media.	Before social media existed there was no quick and easy way to connect with others globally.	support	[['social media', 'causes', 'connection'], ['connection', 'used for', 'people'], ['people', 'at location', 'globally'], ['connection', 'made of', 'fast connection']]	[['social media', '_hascontext', 'fast connection']]	[['people', 'desires', 'social']]
695	School uniform policy does not pose a challenge to the right to free speech.	When students choose their own clothing this is a way of expressing themselves and is therefore linked to freedom of speech.	counter	[['school uniform', 'not capable of', 'freedom of speech'], ['freedom of speech', 'part of', 'free speech'], ['free speech', 'used for', 'expressing themselves']]	[['school uniform', 'isa', '', '_hasprerequisite', 'going to school'], ['going to school', 'usedfor', 'expressing themselves']]	[['uniform', 'isa', 'attire'], ['attire', 'isa', 'clothing']]
1424	Assisted suicide is murder.	The dying party has consented, negating murder.	counter	[['assisted suicide', 'used for', 'the dying party'], ['the dying party', 'receives action', 'has chosen'], ['has chosen', 'receives action', 'has consented'], ['has consented', 'causes', 'ruling out murder'], ['ruling out murder', 'antonym of', 'murder']]	[['assisted suicide', 'isa', '', '_causes', 'committing murder'], ['committing murder', 'hassubevent', 'murder']]	[['suicide', '_createdby', 'death'], ['death', '_causes', 'dying']]
553	If there was a zero tolerance policy, an innocent student could end up suspended or expelled.	Innocent people have been in jail	support	[['zero tolerance', 'capable of', 'misjudgement'], ['misjudgement', 'used for', 'innocent people'], ['innocent people', 'receives action', 'suspended'], ['misjudgement', 'causes', 'jail']]	[['zero tolerance', 'hascontext', '', '_isa', 'prison'], ['prison', 'atlocation', 'jail']]	[['tolerance', '_hasprerequisite', 'drinking'], ['drinking', '_usedfor', 'going_to_party'], ['going_to_party', 'causes', 'babies'], ['babies', 'hasproperty', 'innocent']]
844	The three strikes law is good for society.	The three strikes law punishes small offenses.	counter	[['three strikes law', 'used for', 'punishment'], ['punishment', 'used for', 'small offenses'], ['small offenses', 'not part of', 'good for society']]	[['three strikes law', 'hascontext', 'business'], ['business', 'hasproperty', 'good for society']]	[['law', '_hascontext', 'strike_out'], ['strike_out', '_hassubevent', 'playing_baseball'], ['playing_baseball', 'causes', 'strikes']]
129	Targeted killing is wrong.	Fewer criminals leads to a safer world.	counter	[['targeted killing', 'used for', 'criminals'], ['criminals', 'desires', 'eradication'], ['eradication', 'causes', 'safer world'], ['safer world', 'is not a', 'wrong']]	[['targeted killing', 'isa', 'killing'], ['killing', 'hasproperty', 'wrong']]	[['killing', 'usedfor', 'criminals']]
332	Guantanamo Bay is necessary to house enemies.	Many people at Guantanamo Bay are never charged.	counter	[['guantanamo bay', 'is a', 'prison'], ['prison', 'has property', 'prisoners'], ['prisoners', 'capable of', 'never charged'], ['never charged', 'has context', 'not guilty'], ['prison', 'not capable of', 'house enemies'], ['prison', 'is not a', 'necessary']]	[['guantanamo bay', 'isa', 'prison'], ['prison', 'hasproperty', 'necessary']]	[['house', '_atlocation', 'lizard'], ['lizard', 'atlocation', 'lake'], ['lake', '_atlocation', 'bay']]
26	Marriage should be abandoned.	Marriage is no longer necessary.	support	[['marriage', 'is a', 'no longer necessary'], ['no longer necessary', 'synonym of', 'redundant'], ['redundant', 'desires', 'abandoned']]	[['marriage', '_hascontext', 'abandoned']]	[['marriage', '_atlocation', 'love'], ['love', '_motivatedbygoal', 'love_else'], ['love_else', 'hasprerequisite', 'single'], ['single', '_isa', 'longer']]
566	Children need a certain good activity.	Favorable activities are engaged in by children.	support	[['children', 'desires', 'favorable activities'], ['favorable activities', 'synonym of', 'good activity'], ['children', 'desires', 'fun']]	[['children', 'hasproperty', 'fun']]	[['children', 'atlocation', 'zoo'], ['zoo', 'hascontext', 'military'], ['military', '_hascontext', 'engaged']]
1916	Legalized organ trade would save lives.	Legalized organ trade would not increase the number of competent doctors to perform transplants.	counter	[['legalized organ trade', 'not capable of', 'increase the number'], ['increase the number', 'has property', 'competent doctors'], ['legalized organ trade', 'capable of', 'dangerous'], ['dangerous', 'not capable of', 'save lives']]	[['legalized organ trade', '_hascontext', 'organ'], ['organ', 'usedfor', 'save lives']]	[['organ', 'atlocation', 'animal'], ['animal', 'distinctfrom', 'person'], ['person', 'desires', 'perform']]
2054	Student loans should be subsidized in other to ease financial hardship on students	Some students abuse the privilege of student loan more reasons, it shouldn't be subsidized	counter	[['abuse the privilege', 'part of', 'student loans'], ['abuse the privilege', 'not desires', 'be subsidized'], ['students', 'capable of', 'abuse the privilege']]	[]	[['hardship', '_causes', 'giving_assistance'], ['giving_assistance', 'causes', 'help'], ['help', '_usedfor', 'student']]
301	Cosmetic surgery is bad.	Cosmetic surgery serves a purpose that some mistaken individuals would consider bad.	counter	[['cosmetic surgery', 'capable of', 'serves a purpose'], ['serves a purpose', 'capable of', 'good'], ['individuals', 'desires', 'cosmetic surgery'], ['good', 'antonym of', 'bad']]	[['cosmetic surgery', '_isa', 'plastic surgery'], ['plastic surgery', 'hasproperty', 'bad']]	[['surgery', 'isa', 'artifact'], ['artifact', '_partof', 'plant'], ['plant', '_isa', 'henna'], ['henna', 'isa', 'cosmetic']]
2007	Prostitution should not be a criminal offense.	Organized crime is involved in prostitution, and therefore it is a criminal offense.	counter	[['prostitution', 'capable of', 'organized crime involved'], ['organized crime involved', 'has context', 'criminal offense'], ['criminal offense', 'capable of', 'prosecution']]	[['prostitution', '_hassubevent', 'procreating'], ['procreating', 'causes', 'prosecution']]	[['prostitution', '_hascontext', 'level'], ['level', 'usedfor', 'building'], ['building', '_isa', 'prison'], ['prison', '_atlocation', 'criminal']]
2150	children need the room to grow and learn from mistakes	the more mistakes you make when you are young, the stronger those bad habits are to break later in life	counter	[['children', 'is a', 'young'], ['young', 'capable of', 'more mistakes'], ['more mistakes', 'causes', 'bad habits'], ['bad habits', 'not capable of', 'grow and learn']]	[['children', 'capableof', 'grow and learn']]	[['children', '_causes', 'sex'], ['sex', 'hasproperty', 'good'], ['good', '_nothasproperty', 'bad']]
1004	Telemarketers has nothing to offer only to rip people off their money	Telemarketers operates online and mainly want to scam people and collect their money	support	[['telemarketers', 'capable of', 'operates online'], ['telemarketers', 'desires', 'scam people'], ['scam people', 'synonym of', 'rip people off'], ['scam people', 'has property', 'their money']]	[['telemarketers', '_usedfor', 'getting onto web'], ['getting onto web', 'causesdesire', 'surf net'], ['surf net', 'motivatedbygoal', 'of ours money']]	[['people', 'isa', 'not'], ['not', '_causes', 'pretending'], ['pretending', '_isa', 'deceiving'], ['deceiving', '_isa', 'scam']]
1498	The olympics should be done as no one pays attention	Low viewer attention may lead to no olympics	support	[['olympics', 'is a', 'boring'], ['no money', 'capable of', 'not being held'], ['waning in popularity', 'causes', 'low viewer attention'], ['low viewer attention', 'causes', 'no money'], ['boring', 'causes', 'waning in popularity'], ['not being held', 'synonym of', 'done']]	[['olympics', 'isa', 'event'], ['event', 'receivesaction', 'done']]	[['olympics', '_atlocation', 'athlete'], ['athlete', 'hascontext', 'us'], ['us', '_hascontext', 'low']]
14	marriage has many benefits.	Marriage offers tax benefits.	support	[['marriage', 'causes', 'benefits'], ['benefits', 'used for', 'couples'], ['couples', 'has property', 'combined income'], ['combined income', 'capable of', 'tax benefits']]	[['marriage', '_hasprerequisite', 'getting divorce'], ['getting divorce', 'causes', 'tax benefits']]	[['marriage', '_atlocation', 'support'], ['support', '_desires', 'person'], ['person', '_isa', 'tax']]
355	Entrapment is good because it makes it easier to arrest the person who committed a crime.	If you don't do bad things you can't be entrapped.	support	[['entrapment', 'used for', 'bad people'], ['bad people', 'capable of', 'bad things'], ['entrapped', 'used for', 'bad things'], ['committed a crime', 'has context', 'bad things']]	[['entrapment', 'hascontext', 'religion'], ['religion', 'isa', 'bad things']]	[['entrapment', 'hascontext', 'chemistry'], ['chemistry', '_isa', 'person'], ['person', 'notdesires', 'bad']]
1895	Burning the flag should remain protected legally.	Speech is not protected when it is a threat; burning the flag is a threat against a nation's citizens.	counter	[['burning the flag', 'has context', 'threat'], ['threat', 'not part of', 'protected legally'], ['threat', 'capable of', 'against citizens'], ['against citizens', 'not part of', 'protected legally']]	[['burning the flag', '_usedfor', 'cannonball'], ['cannonball', 'hasproperty', 'protected legally']]	[['flag', 'atlocation', 'country'], ['country', 'atlocation', 'war'], ['war', '_isa', 'nuclear_war'], ['nuclear_war', 'isa', 'threat']]
2228	Since payday loans aren't held to the same standards as loans for middle class people, they should be banned.	Poor people have money emergencies.	counter	[['solve emergencies', 'is a', 'helpful'], ['poor people', 'capable of', 'money emergencies'], ['money emergencies', 'receives action', 'payday loans'], ['payday loans', 'used for', 'solve emergencies'], ['helpful', 'not desires', 'banned']]	[['solve emergencies', '_usedfor', 'work of art'], ['work of art', 'receivesaction', 'banned']]	[['payday', 'isa', 'candy'], ['candy', '_isa', 'chocolate'], ['chocolate', 'hasproperty', 'good'], ['good', '_distinctfrom', 'poor']]
490	People should follow whatever religion they desire.	People have the right to adhere to the religion of their choice	support	[['people', 'desires', 'spirituality'], ['spirituality', 'part of', 'religion'], ['spirituality', 'desires', 'choice'], ['religion', 'desires', 'choice']]	[['people', 'capableof', '', '_hasprerequisite', 'love another'], ['love another', 'hassubevent', 'choice']]	[['religion', 'causes', 'war'], ['war', '_atlocation', 'people']]
64	Cannabis should be legalized.	Most people use cannabis anyways.	support	[['cannabis', 'used for', 'smoking'], ['smoking', 'capable of', 'relaxation'], ['relaxation', 'used for', 'most people'], ['most people', 'desires', 'legalized']]	[['cannabis', 'isa', 'cannabis'], ['cannabis', 'hascontext', 'legalized']]	[['cannabis', 'hasproperty', 'good'], ['good', '_hasproperty', 'people']]
1349	Whaling reduces the amount of whale in the Ocean	Whaling reduces the productivity of whales in the ocean the more you kill, the less they give birth.	support	[['kill whales prematurely', 'causes', 'less time procreate'], ['less time procreate', 'causes', 'less give birth'], ['less give birth', 'causes', 'reduces the amount'], ['whaling', 'synonym of', 'kill'], ['kill', 'capable of', 'kill whales prematurely']]	[['kill whales prematurely', '_capableof', 'sharks'], ['sharks', 'isa', 'sharks'], ['sharks', 'notcapableof', 'kill whales prematurely']]	[['whaling', 'isa', 'hunting'], ['hunting', '_usedfor', 'land'], ['land', 'atlocation', 'ocean'], ['ocean', '_atlocation', 'whales']]
22	Women should be allowed to be in combat.	Women and men are the same.	support	"[['women and men', 'is a', 'humans'], ['humans', 'is a', 'same'], ['same', 'causes', 'women'], ['women', 'capable of', ""do men's work""], [""do men's work"", 'desires', 'be allowed'], ['be allowed', 'receives action', 'fight in war']]"	[['women and men', 'isa', '', '_hasprerequisite', 'fighting war'], ['fighting war', 'causes', 'fight in war']]	[['women', '_distinctfrom', 'man'], ['man', 'distinctfrom', 'lady'], ['lady', '_distinctfrom', 'men']]
2184	School uniforms should not be allowed	School uniforms prevent children from being bullied over the clothing they wear	counter	[['school uniforms', 'capable of', 'prevent bullying'], ['children', 'not desires', 'bullied'], ['clothing', 'causes', 'bullied'], ['prevent bullying', 'not causes', 'bullied'], ['prevent bullying', 'desires', 'allowed']]	[['school uniforms', 'receivesaction', 'allowed']]	[['uniforms', '_usedfor', 'hat'], ['hat', 'atlocation', 'closet'], ['closet', 'atlocation', 'school']]
926	The right to bear arms is incredibly important.	The right to bear arms is dangerous.	counter	[['bear arms', 'has property', 'harmful'], ['harmful', 'part of', 'dangerous'], ['dangerous', 'is not a', 'incredibly important']]	[['bear arms', '_capableof', 'humans'], ['humans', 'hasproperty', 'extremely important']]	[['arms', '_atlocation', 'cat'], ['cat', 'atlocation', 'park'], ['park', '_atlocation', 'bear']]
1797	Surrogacy leads to future harm in children.	Surrogacy is not a complex concept for a child if the parents are open about the process.	counter	[['surrogacy', 'has context', 'not a complex'], ['not a complex', 'capable of', 'explain to child'], ['explain to child', 'causes', 'child understands'], ['child understands', 'not causes', 'future harm']]	[['surrogacy', 'hascontext', 'internet'], ['internet', 'capableof', 'future harm']]	[['harm', '_capableof', 'fire'], ['fire', 'causes', 'pain'], ['pain', '_capableof', 'child']]
1742	Scientology is a cult not a religion.	Scientology is not a cult.	counter	[['scientology', 'has context', 'not a cult'], ['not a cult', 'is a', 'religion'], ['scientology', 'has context', 'can be religion']]	[['scientology', '_hascontext', '', '_isa', 'can be religion']]	[['cult', 'hascontext', 'derogatory'], ['derogatory', 'hascontext', 'legal'], ['legal', '_hascontext', 'circuit'], ['circuit', 'hascontext', 'scientology']]
155	austerity doesn't allow poor people to improve their circumstances	austerity doesn't improve the lives of poor people	support	[['austerity', 'synonym of', 'reduced government spending'], ['reduced government spending', 'has subevent', 'reduce economic aid'], ['reduce economic aid', 'not has context', 'improve the lives'], ['improve the lives', 'has context', 'constituents'], ['constituents', 'has subevent', 'poor people']]	[['austerity', 'isa', 'government'], ['government', 'notdesires', 'poor people']]	[['poor', '_distinctfrom', 'wealth'], ['wealth', 'hascontext', 'economics'], ['economics', '_hascontext', 'austerity']]
652	Mandatory public defenders would be too expensive.	Not everyone wants a public defender.	support	[['mandatory public defenders', 'has property', 'costly'], ['costly', 'part of', 'expensive'], ['expensive', 'not capable of', 'everyone'], ['everyone', 'not desires', 'public defender']]	[['mandatory public defenders', '_isa', 'public defender']]	[['mandatory', '_distinctfrom', 'optional'], ['optional', '_distinctfrom', 'main'], ['main', 'distinctfrom', 'alternate'], ['alternate', 'hascontext', 'us'], ['us', '_hascontext', 'private'], ['private', '_distinctfrom', 'public']]
250	Entrapment can be a good way of catching a criminal	Entrapment can be a tactic used by the good guys to catch criminals	support	[['entrapment', 'is a', 'particular tactic'], ['particular tactic', 'capable of', 'catch criminals'], ['catch criminals', 'has property', 'easily'], ['easily', 'is a', 'good way']]	[['entrapment', 'hascontext', 'programming'], ['programming', 'isa', 'good way']]	[['entrapment', 'hascontext', 'legal'], ['legal', 'hascontext', 'us'], ['us', '_hascontext', 'catcher'], ['catcher', 'capableof', 'catch']]
225	it keeps unwanted goods from entering	this system helps keep unwanted goods out and wanted goods in	support	[['this system', 'capable of', 'helps keep'], ['helps keep', 'has context', 'unwanted goods out'], ['helps keep', 'has context', 'wanted goods in'], ['unwanted goods out', 'causes', 'unwanted goods'], ['unwanted goods', 'not capable of', 'entering']]	[['this system', 'hascontext', 'government'], ['government', 'usedfor', 'entering']]	[['entering', '_usedfor', 'entrance_hall'], ['entrance_hall', 'atlocation', 'person'], ['person', 'notdesires', 'unwanted']]
2342	Space exploration allows for discovering new planet and reducing population on earth.	Space exploration should be a major priority for the people on earth.	support	"[['space exploration', 'desires', 'major priority'], ['space exploration', 'capable of', 'new information'], ['new information', 'capable of', 'discovering new planet'], ['discovering new planet', 'used for', 'open up possibilities'], ['open up possibilities', 'has context', ""reducing earth's population""]]"	"[['space exploration', '_usedfor', 'world'], ['world', 'capableof', ""reducing earth's population""]]"	[['exploration', '_usedfor', 'moon'], ['moon', 'atlocation', 'space']]
682	Payday loans are helpful for those with short term economic problems.	Unrequired temporary debt are beneficial for the poor.	support	[['payday loans', 'used for', 'unrequired temporary debt'], ['unrequired temporary debt', 'used for', 'economic problems'], ['economic problems', 'part of', 'poor'], ['poor', 'desires', 'help']]	[['payday loans', '_usedfor', 'paying bills'], ['paying bills', 'hassubevent', '', '_hasprerequisite', 'help']]	[['payday', 'causesdesire', 'spend_money'], ['spend_money', '_causes', 'buying_presents_for_others'], ['buying_presents_for_others', 'causes', 'debt']]
1297	Artists and creators works a lot and should earn more funds	most artists and creators gives joy to us	support	[['artists and creators', 'desires', 'income'], ['earn more funds', 'part of', 'income'], ['artists and creators', 'capable of', 'gives joy'], ['gives joy', 'has subevent', 'deserves income']]	[['artists and creators', '_usedfor', 'creating art causesdesires earn money motivatedbygoalerves income']]	[['earn', '_hasprerequisite', 'get_contract'], ['get_contract', 'motivatedbygoal', 'money'], ['money', 'atlocation', 'art_show'], ['art_show', '_atlocation', 'artists']]
1901	Banning substances is ineffective.	Bans would help deter future wrongdoings.	counter	[['banning', 'has subevent', 'deter future wrongdoings'], ['deter future wrongdoings', 'not has context', 'ineffective'], ['bans', 'not capable of', 'ineffective']]	[['banning', 'isa', 'punishing'], ['punishing', 'hasproperty', 'ineffective']]	[['substances', '_isa', 'drugs'], ['drugs', '_notdesires', 'person'], ['person', 'desires', 'future']]
482	We should adopt something on the basis that it defends freedom.	Progressive laws enable people of all backgrounds to have equal rights.	support	[['progressive laws', 'causes', 'freedom'], ['freedom', 'used for', 'equal rights'], ['equal rights', 'capable of', 'defends freedom']]	[['progressive laws', '_hasa', 'american public'], ['american public', 'capableof', 'defends freedom']]	[['adopt', 'distinctfrom', 'born'], ['born', '_hasfirstsubevent', 'learn_about_world'], ['learn_about_world', '_desires', 'person'], ['person', 'notdesires', 'laws']]
57	Human cloning should be banned.	Human cloning is not moral.	support	[['human cloning', 'is not a', 'moral'], ['moral', 'capable of', 'bad effects'], ['bad effects', 'desires', 'banned']]	[['human cloning', 'isa', 'cloning'], ['cloning', 'hascontext', 'internet'], ['internet', 'nothasproperty', 'banned']]	[['cloning', 'hascontext', 'biology'], ['biology', '_hascontext', 'asexual'], ['asexual', 'isa', 'human']]
378	Social media brings people together.	It is not entirely impossible to meet new friends on social media.	support	[['social media', 'used for', 'unity'], ['unity', 'capable of', 'brings people together'], ['brings people together', 'created by', 'meet new friends']]	[['social media', '_hascontext', 'meet new friends']]	[['people', 'desires', 'social']]
2145	People should be allowed to higher expensive lawyers if they can afford to do it.	Expensive lawyers are not always available to everyone.	counter	[['expensive lawyers', 'has context', 'not always available'], ['everyone', 'not capable of', 'expensive lawyers'], ['afford', 'part of', 'not always available']]	[['expensive lawyers', '_hasa', 'lawyers'], ['lawyers', 'isa', 'not always available']]	[['people', 'isa', 'lawyers']]
272	The church of scientology should be banned.	The church of scientology is a cult.	support	[['church of scientology', 'has property', 'demonic'], ['demonic', 'part of', 'cult'], ['cult', 'receives action', 'banned']]	[['church of scientology', 'hascontext', 'religion'], ['religion', 'nothasproperty', 'banned']]	[['church', '_atlocation', 'electricity'], ['electricity', '_hascontext', 'circuit'], ['circuit', 'hascontext', 'scientology']]
1192	Television is fun and part of us already	There are varieties of program you can watch when you have a television it only depend on what you love	support	[['television', 'used for', 'different programs'], ['different programs', 'part of', 'varieties of program'], ['varieties of program', 'capable of', 'fun'], ['fun', 'receives action', 'being enjoyed']]	[['television', '_hascontext', 'show'], ['show', 'usedfor', 'being enjoyed']]	[['television', 'isa', 'person'], ['person', 'desires', 'achieve'], ['achieve', 'hascontext', 'literary'], ['literary', '_hascontext', 'depend']]
2069	Defendants in criminal cases should not be barred from counseling as they are likely to be imprisoned.	Defendants can put into prison in a criminal case so they should not be constrained in their counsel.	support	[['defendants', 'capable of', 'put in prison'], ['put in prison', 'desires', 'prevent'], ['counseling', 'used for', 'prevent'], ['counseling', 'desires', 'not be constrained']]	[['defendants', 'capableof', 'not be constrained']]	[['counseling', 'hasproperty', 'false'], ['false', '_hasproperty', 'lie'], ['lie', '_atlocation', 'human'], ['human', 'atlocation', 'prison']]
388	Test results are not accurate.	The accuracy of test results should not be disputed and are accurate because everyone takes the same tests.	counter	[['test', 'capable of', 'accuracy'], ['accuracy', 'created by', 'everyone'], ['everyone', 'receives action', 'took same test'], ['took same test', 'causes', 'accurate']]	[['test', '_hasprerequisite', 'calculate things quickly'], ['calculate things quickly', 'motivatedbygoal', 'accurate']]	[['test', 'causesdesire', 'study_for_subject'], ['study_for_subject', 'hassubevent', 'insight'], ['insight', '_causes', 'expressing_information'], ['expressing_information', 'hassubevent', 'accurate']]
1182	A person should be allowed to work until they choose to stop.	If a person is in good health, there is no reason they should not be allowed to work.	support	[['work', 'has context', 'important to people'], ['important to people', 'has subevent', 'allowed to work'], ['good health', 'capable of', 'allowed to work']]	[['work', 'receivesaction', 'allowed to work']]	[['work', 'hasprerequisite', 'thinking'], ['thinking', 'usedfor', 'reason']]
340	Urbanization is an economic improvement.	Some may mistakenly argue that urbanization is a good thing.	counter	[['urbanization', 'causes', 'crowding'], ['crowding', 'not capable of', 'good thing'], ['crowding', 'is not a', 'improvement']]	[['urbanization', '_causes', 'changing society'], ['changing society', 'usedfor', 'improvement']]	-1
510	People have the right to do things alone.	If people feel like doing something alone they can do as they wish.	support	[['people', 'capable of', 'choice'], ['choice', 'used for', 'do things alone'], ['do things alone', 'part of', 'something alone']]	[['people', 'capableof', '', '_notdesires', 'person'], ['person', 'desires', 'something alone']]	[['people', 'capableof', 'wait_in_line'], ['wait_in_line', '_hassubevent', 'buying'], ['buying', 'hassubevent', 'feel']]
193	It is a good way to keep out bad goods.	It should be continued to not have unwanted goods.	support	[['economic sanctions', 'causes', 'keep out bad'], ['keep out bad', 'has context', 'unwanted goods'], ['unwanted goods', 'desires', 'regulations'], ['regulations', 'not part of', 'black market'], ['black market', 'not has subevent', 'sanctions and blockades'], ['sanctions and blockades', 'is a', 'good way'], ['good way', 'desires', 'should be continued']]	[['economic sanctions', '_causes', 'fighting inflation'], ['fighting inflation', 'hassubevent', 'should be continued']]	[['good', '_hasproperty', 'agreement'], ['agreement', '_desires', 'person'], ['person', 'notdesires', 'unwanted']]
1193	A multi-party system gives people more options for leadership than a system with fewer parties.	Multi-party systems give citizens too many choices for leadership and this usually makes people frustrated and confused.	counter	[['multi-party system', 'capable of', 'more candidates'], ['more candidates', 'has context', 'more options'], ['more options', 'capable of', 'too many choices'], ['too many choices', 'causes', 'frustrated and confused']]	[['multi-party system', '_isa', '', '_atlocation', 'people'], ['people', 'receivesaction', 'frustrated and confused']]	[['leadership', '_hasprerequisite', 'being_in_charge_of_project'], ['being_in_charge_of_project', 'causes', 'anxiety'], ['anxiety', '_notdesires', 'person'], ['person', 'desires', 'choices']]
1893	There is a freedom of expression and speech in our country.	Pride parade is just a mere formality.	counter	[['pride parade', 'is a', 'mere formality'], ['pride parade', 'part of', 'freedom of expression'], ['country', 'synonym of', 'nation'], ['nation', 'has property', 'freedom of expression'], ['nation', 'has property', 'freedom of speech']]	[['pride parade', '_atlocation', 'freedom of speech']]	[['freedom', '_usedfor', 'fighting_war'], ['fighting_war', 'usedfor', 'pride']]
2296	The three strikes law works.	The three strikes law punishes for minor offenses.	counter	[['three strikes law', 'used for', 'minor offenses'], ['punishes minor offenses', 'not has context', 'beneficial'], ['punishes minor offenses', 'not part of', 'works'], ['works', 'not made of', 'minor offenses']]	[['three strikes law', 'hascontext', 'minor offenses']]	[['law', '_hascontext', 'strike_out'], ['strike_out', '_hassubevent', 'playing_baseball'], ['playing_baseball', 'causes', 'strikes']]
1450	women can endanger the lives of others in combat.	Training can reduce the fatalities in dangerous situations.	counter	[['training', 'capable of', 'reduce the fatalities'], ['women', 'capable of', 'training'], ['training', 'not causes', 'endanger the lives']]	[['training', '_hasprerequisite', 'becoming scuba diver'], ['becoming scuba diver', 'causes', 'injury'], ['injury', 'capableof', 'endanger the lives']]	[['women', '_distinctfrom', 'man'], ['man', 'hascontext', 'computing'], ['computing', '_hascontext', 'training']]
2217	Space exploration is important for many novel pursuits, and inventions.	There are many issues on earth that need to be addressed before we turn our attention to outer space.	counter	[['earth', 'is not a', 'outer space'], ['many problems', 'has property', 'important'], ['many problems', 'desires', 'need solving'], ['earth', 'has context', 'many problems'], ['need solving', 'desires', 'inventions'], ['need solving', 'desires', 'novel pursuits'], ['important', 'has context', 'highest priority']]	[['earth', '_atlocation', 'sun'], ['sun', 'isa', 'highest priority']]	[['exploration', '_usedfor', 'moon'], ['moon', '_hasa', 'earth']]
1107	Sex selection makes people happy.	sex selection allows for control over your sex.	support	[['sex selection', 'has context', 'appealing'], ['appealing', 'capable of', 'makes people happy'], ['sex selection', 'has context', 'control'], ['control', 'has context', 'appealing']]	[['sex selection', 'isa', '', '_distinctfrom', 'appeal']]	[['sex', 'hasproperty', 'fun'], ['fun', '_nothasproperty', 'government'], ['government', 'atlocation', 'control']]
1613	You can stay in contact this way.	This is not a good way to stay in contact.	counter	[['social media', 'synonym of', 'this way'], ['this way', 'is not a', 'a good way'], ['a good way', 'not has context', 'stay in contact']]	[['social media', '_hascontext', 'stay in contact']]	[['contact', '_mannerof', 'law'], ['law', '_hascontext', 'move'], ['move', '_distinctfrom', 'stay']]
1194	Space exploration aids in national defense.	Space exploration has been used for national defense.	support	[['space exploration', 'causes', 'protection'], ['protection', 'used for', 'national defense'], ['national defense', 'has context', 'national importance'], ['space exploration', 'has context', 'national importance']]	[['space exploration', '_usedfor', 'launching pad'], ['launching pad', 'atlocation', 'national importance']]	[['exploration', '_usedfor', 'moon'], ['moon', 'atlocation', 'space']]
2188	Everyone should have a public defender.	Not everyone wants a public defender.	counter	[['not everyone', 'desires', 'public defender'], ['public defender', 'part of', 'choice'], ['everyone', 'desires', 'choice']]	[['not everyone', 'hasa', 'job'], ['job', 'isa', 'choice']]	-1
